spieltag,date,weekday,time,home_team,away_team,distance,season,datetime,ticket_count,gross_revenue,season_tickets_sold,season_tickets_revenue,total_season_tickets,total_season_revenue
27,2024-12-18,Wednesday,19.30,Grizzlys Wolfsburg,ERC Ingolstadt,526.0,24-25,2024-12-18 19:30:00,1006.0,22019.1,1144,428163.0,47118,1434539.12
29,2024-12-22,Sunday,14.00,Grizzlys Wolfsburg,Löwen Frankfurt,369.0,24-25,2024-12-22 14:00:00,2265.0,54654.5,1144,428163.0,47118,1434539.12
30,2024-12-26,Thursday,16.30,Grizzlys Wolfsburg,Eisbären Berlin,228.0,24-25,2024-12-26 16:30:00,2840.0,77620.5,1144,428163.0,47118,1434539.12
34,2025-01-05,Sunday,16.30,Grizzlys Wolfsburg,Straubing Tigers,560.0,24-25,2025-01-05 16:30:00,1887.0,39436.5,1144,428163.0,47118,1434539.12
36,2025-01-12,Sunday,14.00,Grizzlys Wolfsburg,Pinguins Bremerhaven,252.0,24-25,2025-01-12 14:00:00,2474.0,57268.0,1144,428163.0,47118,1434539.12
38,2025-01-19,Sunday,16.30,Grizzlys Wolfsburg,Augsburger Panther,588.0,24-25,2025-01-19 16:30:00,1840.0,35346.0,1144,428163.0,47118,1434539.12
40,2025-01-26,Sunday,19.00,Grizzlys Wolfsburg,EHC Red Bull München,600.0,24-25,2025-01-26 19:00:00,1498.0,33051.0,1144,428163.0,47118,1434539.12
41,2025-01-28,Tuesday,19.30,Grizzlys Wolfsburg,Löwen Frankfurt,369.0,24-25,2025-01-28 19:30:00,1130.0,20074.0,1144,428163.0,47118,1434539.12
43,2025-02-02,Sunday,16.30,Grizzlys Wolfsburg,Iserlohn Roosters,304.0,24-25,2025-02-02 16:30:00,1866.0,38703.1,1144,428163.0,47118,1434539.12
45,2025-02-16,Sunday,14.00,Grizzlys Wolfsburg,Pinguins Bremerhaven,252.0,24-25,2025-02-16 14:00:00,2432.0,62354.0,1144,428163.0,47118,1434539.12
47,2025-02-21,Friday,18.00 VW,Grizzlys Wolfsburg,ERC Ingolstadt,526.0,24-25,2025-02-21 18:00:00,1820.0,40532.0,1144,428163.0,47118,1434539.12
49,2025-02-28,Friday,19.30,Grizzlys Wolfsburg,Kölner Haie,376.0,24-25,2025-02-28 19:30:00,2343.0,56414.6,1144,428163.0,47118,1434539.12
51,2025-03-04,Tuesday,19.30,Grizzlys Wolfsburg,Straubing Tigers,560.0,24-25,2025-03-04 19:30:00,1349.0,26046.0,1144,428163.0,47118,1434539.12
